Year,Nalohou,Niamey,Njombe_Penja,Ouagadougou,Rubavu,SaintLouis,Sunyani,Tamale,Yaounde,Abuja
1960-01-16,0,0,28,0,52.2,0,37.9,1.1,42.6,25.4
1960-02-15,0,0.1,24,0,108,0,18.5,0.4,52.4,34.3
1960-03-16,49,5.1,165,16.8,107.1,0,143.2,34.8,164,101.4
1960-04-16,83.8,16.8,187,45.5,136.6,0,179.7,120.2,175,131.8
1960-05-16,138.2,29.9,292,82.6,118.4,0,119.3,88.9,255.2,113.8
1960-06-16,206.2,80.6,288,102.2,95.8,4.1,299,121.1,170.2,297.4
1960-07-16,225.8,210.4,733,255.4,90.7,100.6,94.7,185.4,144.6,24
1960-08-16,234,169.2,430,222.4,176.7,94.8,85.4,184.5,212.8,32.2
1960-09-16,322.7,131.5,430,223.9,103,169.7,163.2,349.3,302.9,68.5
1960-10-16,130.3,0.7,314,6.8,178.8,12.3,182.6,89.1,328.7,184.4
1960-11-16,9.9,0,104,0,102.9,0,35.7,0.3,120,49.7
1960-12-16,8.3,0,59,0,60.2,0,30,7.5,88.5,23.7
1961-01-16,0,0,34,0,52.1,1.5,2,0,46.7,21.1
1961-02-15,0,0.1,26,0,59,0,5.1,0,27.2,10.5
1961-03-16,16.3,6.1,120,13.7,94.7,0,84.3,22.9,98.3,52.6
1961-04-16,89.3,0.7,240,17.2,149.9,0,139.7,80.6,188.7,127.5
1961-05-16,96.2,36.1,163,60.2,151.3,0,168.2,91.8,147.7,110.7
1961-06-16,180.3,106.6,345,142.3,182.4,9.4,228,163.7,145.7,325.8
1961-07-16,206.2,223.1,392,239,165.3,81.7,129,154,109.4,134.2
1961-08-16,125.5,185.4,469,189.6,202.3,70.4,9.3,135,89.6,9.7
1961-09-16,209,141.3,359,198.3,189.3,199.4,165.1,235.8,340.7,122.2
1961-10-16,47.6,0,366,0,212.8,4.8,147,19.1,389.9,74.6
1961-11-16,0,0,103,0,281.6,0,23.5,0,120.5,79.5
1961-12-16,0,0,4,0,73.5,0,10,0,10.2,19.7
1962-01-16,0,0,10,0,58.2,0,1.3,0,3.4,16.9
1962-02-15,0,0.1,34,0,35,0,22.7,2.7,42.3,20.7
1962-03-16,26.3,0,207,0,132.2,0,134.5,13.6,273.3,81.6
1962-04-16,88.8,11.7,253,18.7,141.7,0,174,87.6,248.6,71.8
1962-05-16,144.8,29,276,62.7,154.1,0,217.9,110.9,215.5,218.6
1962-06-16,258.5,31.2,301,104.3,148.9,7.8,302.4,172.2,147.3,463.6
1962-07-16,230.2,249.3,360,203.8,71.3,18.2,85.6,153.4,106.1,75.1
1962-08-16,326.7,265.9,484,281,144.9,168.4,93.9,256.3,116.9,39.5
1962-09-16,242.1,118.4,440,178.4,221.4,28.2,80.9,227,351.9,27.9
1962-10-16,136,24.4,341,42.6,213.5,53.6,166.8,110.9,328.2,148.8
1962-11-16,32.6,5.4,168,3.5,117.3,0,132.2,75.4,231.8,76
1962-12-16,0.6,0,13,0,79.4,0,40.5,10.9,25.2,52.8
1963-01-16,0,0,12,0,118.5,0,17.6,0,34.2,35.1
1963-02-15,26.6,3.6,70,0,105.8,0,102.7,39.5,101.4,31.7
1963-03-16,26.6,0,99,2.4,130.1,0,121.5,11.3,99.6,67.1
1963-04-16,83.7,13,178,32.9,200.2,0,150.1,114.2,168.4,118.6
1963-05-16,119.2,56.8,248,77.6,207.4,0,186.5,135.5,220,182.3
1963-06-16,158.5,92.1,178,126.9,101.8,2.7,190.7,119.6,189.9,267
1963-07-16,289.2,157.3,368,165.8,109,75,238.1,289,127,196.3
1963-08-16,391.1,171.2,415,264,129.7,61.2,156.9,327,145.3,110.1
1963-09-16,268.8,113,359,197.2,85.3,107.7,213,246.7,259.2,151.9
1963-10-16,188.2,24.8,258,46.1,121.1,126.9,271.6,207.4,234.3,155.7
1963-11-16,6.9,0,129,0.6,166.7,0,46.6,7.4,108.5,102.7
1963-12-16,0,0,23,0,97.1,0,10.9,0,24.9,31.9
1964-01-16,0,0,4,0,40.4,7,33.9,0,29.5,46.3
1964-02-15,0,0.1,30,0,67.4,1.6,18.1,0,66.5,24.7
1964-03-16,62.9,11.4,183,1.3,119.8,0,131.6,99.1,158.9,106.2
1964-04-16,82.1,27.7,253,17.6,169.4,0,107.4,36.9,267.6,167.7
1964-05-16,130.2,38.6,203,86.8,117.4,0,183.4,117,180.1,145.3
1964-06-16,151.5,86.7,285,119.4,115.5,0.4,263.6,127.9,198.5,264.6
1964-07-16,252.1,208.9,787,238.7,110.4,80.7,62.5,158.9,97.1,34.8
1964-08-16,256.1,223.7,276,236.9,167.1,168.2,78.6,174.9,79.4,20.1
1964-09-16,288.3,167.6,490,240.6,167.6,70.4,116,325.7,352,37.6
1964-10-16,57.4,9,338,6.5,196.5,6.4,121,47,361.3,36.9
1964-11-16,4.6,0,140,0,71.9,0,63.7,7.1,127.7,25.5
1964-12-16,3,0,35,0,121.8,1.2,42.7,18.1,75.5,14.8
1965-01-16,0,0,26,0,31.7,4.6,10,7,16.5,19.1
1965-02-15,10.4,1.1,81,0,49.4,4.9,56.8,1.4,119.2,73.6
1965-03-16,4.7,0.1,135,0,140,0,102.5,12.1,150.4,83.9
1965-04-16,93.3,4.2,212,16.7,126.9,0,123.6,89.8,209,164.8
1965-05-16,161.8,25.6,185,39.1,136.5,0,178.5,116.5,208.5,122.5
1965-06-16,171.1,114.5,510,134.7,69.1,21.6,189.6,183.1,177.9,320.7
1965-07-16,246.7,145.6,263,195.8,88.7,70.9,115.8,164.1,87.8,136.4
1965-08-16,286.9,190.9,561,226.2,137.3,106,137,230.6,194,68.2
1965-09-16,167.6,221.2,520,134.9,136.3,129.4,181.6,194,318.6,71.7
1965-10-16,65.1,14.5,337,18.6,197.4,15.2,156.3,74.4,287.5,102.5
1965-11-16,0.1,0,61,0,122.4,0,31.6,0,119.8,62.1
1965-12-16,0,0,24,0,68,0,6.1,0,29.4,29.4
1966-01-16,0,0,15,0,54.8,0,4,0,47.3,22.2
1966-02-15,0,0.1,12,0,92.6,0,24.4,0,13.7,26.1
1966-03-16,22.3,7.7,155,20.5,158.7,0,97.5,34.4,137.8,97.4
1966-04-16,128.7,25.5,266,22.4,196.4,0,167.5,126.8,301.6,146.9
1966-05-16,124.3,48.1,278,88.8,79.2,0,153.9,127.2,303.9,161.1
1966-06-16,174.5,116,282,112,109.5,11,234.7,131.9,250.9,171.6
1966-07-16,175.9,121.2,718,119.9,126.4,22,211.2,135.7,155.7,120.2
1966-08-16,245.8,145.7,378,275.6,194.4,135.2,105.8,199.8,175.2,33.6
1966-09-16,197.9,130.5,432,179.9,150.4,79,128.2,173.2,250.9,56.5
1966-10-16,92.6,24.7,293,14.7,136.7,148.8,160.7,131.2,355.2,105.5
1966-11-16,2.6,0,99,1.2,107.8,0,43.1,0.2,174.2,51.7
1966-12-16,0,0,20,0,34.8,7,26.6,0,35.2,16.8
1967-01-16,0,0,3,0,27.9,0,0.4,0,10.5,17.9
1967-02-15,9.4,0.1,33,0,24.9,0,50.6,35.3,29.9,23.1
1967-03-16,79.6,8,123,21.1,80.7,0,78.7,83.2,117,97
1967-04-16,89,33.7,155,12.2,156.3,0,141.8,75.1,162.4,133
1967-05-16,125,11.3,207,55.1,152.3,0,156.9,103.3,220.9,141.6
1967-06-16,171,89.3,388,136.5,123.6,15.3,237.3,120,229.7,288.4
1967-07-16,216.7,172.6,391,141.1,111.6,59.7,58.1,135.2,98.3,19.1
1967-08-16,261.3,256.6,581,252.5,104.3,74.5,36.9,266.6,172.8,17.5
1967-09-16,299.9,204.1,434,161.6,124.7,169.1,134.6,248.4,394.7,95.9
1967-10-16,107.8,8.1,304,2.8,237.9,32.6,138.3,50.1,344.4,53.4
1967-11-16,8.4,0,106,0,143,0,29.3,8.8,94.6,53.1
1967-12-16,17.3,0,25,0,48.8,0,26.1,9.3,49.5,39.5
1968-01-16,0,0,33,0,17.4,0,24.1,0,33.1,40.6
1968-02-15,0.4,0.1,44,0,86.7,6.1,60.5,41.2,33.9,56.9
1968-03-16,83.9,0,150,0.1,133.7,0,101.7,141.2,146.9,56.3
1968-04-16,157.3,30.7,181,55,141.7,0,180.9,126.3,217,95.3
1968-05-16,118,52.6,258,107.8,97.9,0,254.4,125.3,239.9,123.7
1968-06-16,194.7,147.7,573,182.6,125.5,6.3,263.3,183.9,156,288
1968-07-16,340.9,128.6,287,176,93.4,32.3,187.2,252.6,65.2,249.7
1968-08-16,244.3,147,449,155.9,111.6,65.6,223,209.8,149.2,151.6
