Months, PRED, PETD, CLDD, DTRD, TMPD, TMND, TMXD, VAPD, WETD,  FRSD
Jan,0,6,48.8,17.1,21.7,13.2,30.3,6,0,0
Feb,0,7.1,48.8,17.4,25,16.3,33.7,6.1,0,0
Mar,0,7.5,56.3,17.3,28.1,19.5,36.8,8.7,0,0
Apr,29.6,7.1,60,14.3,30.2,23.1,37.4,16.3,2.69,0
May,33,6.2,60,13,29.2,22.7,35.7,21.4,4.26,0
Jun,134.3,5.4,57.5,11.6,27.9,22.1,33.7,23.6,9.74,0
Jul,234.8,4,67.5,8.8,25,20.6,29.4,23.6,15.11,0
Aug,261.2,3.8,71.3,9.2,25.5,20.9,30.1,25,15.32,0
Sep,127.1,4.1,61.3,10.7,25.6,20.3,31,24.3,9.82,0
Oct,1.9,5.2,55,15,26.8,19.3,34.3,18.2,0.36,0
Nov,0,6,46.3,17.2,24.4,15.8,33,8.8,0,0
Dec,0,6,45,16.4,24.9,16.7,33.1,10.6,0,0
Jan,0,5.9,51.1,15.4,22.5,14.8,30.2,6.8,0,0
Feb,0,6.5,52.3,15.8,22.3,14.4,30.2,5.4,0,0
Mar,0,7,55.4,15.6,25.9,18.1,33.7,8,0,0
Apr,3.6,7,60.2,13.6,29.8,23,36.6,16.1,0.71,0
May,26.6,6.5,57.9,13.3,29.8,23.2,36.5,21.3,3.3,0
Jun,147.7,5.4,56.8,10.5,28,22.8,33.3,23.8,10.45,0
Jul,247.6,3.9,69.4,8.6,25,20.7,29.3,23.6,15.13,0
Aug,355.4,3.3,73.2,8.2,24.2,20.1,28.3,24.9,17.38,0
Sep,108,4,60.1,11,24.9,19.4,30.4,23.3,9.11,0
Oct,1,5.2,49.9,15.4,25.5,17.8,33.2,16.2,0.17,0
Nov,0,6,40.8,17.9,23.2,14.3,32.2,7.7,0,0
Dec,0,5.4,45.9,17.7,20.1,11.3,29,7.9,0,0
Jan,0,5.8,45.8,17.2,20.1,11.5,28.7,5.2,0,0
Feb,0,7.1,45.4,17.5,24.2,15.5,33,5.8,0,0
Mar,7,7.5,55.6,16.4,28.7,20.5,36.9,9.4,0,0
Apr,11.5,6.8,63.1,13,29.8,23.3,36.3,16.7,1.49,0
